intca,ID,value,type
INTCA_RS03515,Ga0242637_11545,aerobic respiration I (cytochrome c),pathway
INTCA_RS03510,Ga0242637_11544,L-alanine biosynthesis I,pathway
INTCA_RS03510,Ga0242637_11544,,pathway
INTCA_RS03510,Ga0242637_11544,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03510,Ga0242637_11544,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03510,Ga0242637_11544,aerobic respiration I (cytochrome c),pathway
INTCA_RS03505,Ga0242637_11543,L-alanine biosynthesis I,pathway
INTCA_RS03505,Ga0242637_11543,,pathway
INTCA_RS03505,Ga0242637_11543,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03505,Ga0242637_11543,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03505,Ga0242637_11543,aerobic respiration I (cytochrome c),pathway
INTCA_RS03500,Ga0242637_11542,L-alanine biosynthesis I,pathway
INTCA_RS03500,Ga0242637_11542,,pathway
INTCA_RS03500,Ga0242637_11542,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03500,Ga0242637_11542,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03500,Ga0242637_11542,aerobic respiration I (cytochrome c),pathway
INTCA_RS03495,Ga0242637_11541,L-alanine biosynthesis I,pathway
INTCA_RS03495,Ga0242637_11541,,pathway
INTCA_RS03495,Ga0242637_11541,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03495,Ga0242637_11541,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03495,Ga0242637_11541,aerobic respiration I (cytochrome c),pathway
INTCA_RS03490,Ga0242637_11540,L-alanine biosynthesis I,pathway
INTCA_RS03490,Ga0242637_11540,,pathway
INTCA_RS03490,Ga0242637_11540,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03490,Ga0242637_11540,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03490,Ga0242637_11540,aerobic respiration I (cytochrome c),pathway
INTCA_RS03485,Ga0242637_11539,L-alanine biosynthesis I,pathway
INTCA_RS03485,Ga0242637_11539,,pathway
INTCA_RS03485,Ga0242637_11539,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03485,Ga0242637_11539,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03485,Ga0242637_11539,aerobic respiration I (cytochrome c),pathway
INTCA_RS03480,Ga0242637_11538,L-alanine biosynthesis I,pathway
INTCA_RS03480,Ga0242637_11538,,pathway
INTCA_RS03480,Ga0242637_11538,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03480,Ga0242637_11538,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03480,Ga0242637_11538,aerobic respiration I (cytochrome c),pathway
INTCA_RS03475,Ga0242637_11537,L-alanine biosynthesis I,pathway
INTCA_RS03475,Ga0242637_11537,,pathway
INTCA_RS03475,Ga0242637_11537,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03475,Ga0242637_11537,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03475,Ga0242637_11537,aerobic respiration I (cytochrome c),pathway
INTCA_RS03470,Ga0242637_11536,L-alanine biosynthesis I,pathway
INTCA_RS03470,Ga0242637_11536,,pathway
INTCA_RS03470,Ga0242637_11536,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03470,Ga0242637_11536,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03470,Ga0242637_11536,aerobic respiration I (cytochrome c),pathway
INTCA_RS03465,Ga0242637_11535,L-alanine biosynthesis I,pathway
INTCA_RS03465,Ga0242637_11535,,pathway
INTCA_RS03465,Ga0242637_11535,NADH to cytochrome <i>bd</i> oxidase electron transfer I,pathway
INTCA_RS03465,Ga0242637_11535,NADH to cytochrome <i>bo</i> oxidase electron transfer I,pathway
INTCA_RS03465,Ga0242637_11535,aerobic respiration I (cytochrome c),pathway
INTCA_RS11955,Ga0242637_112215,superpathway of branched chain amino acid biosynthesis,pathway
INTCA_RS11955,Ga0242637_112215,L-leucine biosynthesis,pathway
INTCA_RS11955,Ga0242637_112215,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS11955,Ga0242637_112215,L-isoleucine degradation I,pathway
INTCA_RS11955,Ga0242637_112215,L-isoleucine biosynthesis I (from threonine),pathway
INTCA_RS11955,Ga0242637_112215,L-valine degradation I,pathway
INTCA_RS11955,Ga0242637_112215,L-alanine biosynthesis I,pathway
INTCA_RS11955,Ga0242637_112215,L-valine biosynthesis,pathway
INTCA_RS11955,Ga0242637_112215,,pathway
INTCA_RS11950,Ga0242637_112214,superpathway of branched chain amino acid biosynthesis,pathway
INTCA_RS11950,Ga0242637_112214,L-leucine biosynthesis,pathway
INTCA_RS11950,Ga0242637_112214,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS11950,Ga0242637_112214,L-isoleucine degradation I,pathway
INTCA_RS11950,Ga0242637_112214,L-isoleucine biosynthesis I (from threonine),pathway
INTCA_RS11950,Ga0242637_112214,L-valine degradation I,pathway
INTCA_RS11950,Ga0242637_112214,L-alanine biosynthesis I,pathway
INTCA_RS11950,Ga0242637_112214,L-valine biosynthesis,pathway
INTCA_RS11950,Ga0242637_112214,,pathway
INTCA_RS11945,Ga0242637_112213,superpathway of branched chain amino acid biosynthesis,pathway
INTCA_RS11945,Ga0242637_112213,L-leucine biosynthesis,pathway
INTCA_RS11945,Ga0242637_112213,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS11945,Ga0242637_112213,L-isoleucine degradation I,pathway
INTCA_RS11945,Ga0242637_112213,L-isoleucine biosynthesis I (from threonine),pathway
INTCA_RS11945,Ga0242637_112213,L-valine degradation I,pathway
INTCA_RS11945,Ga0242637_112213,L-alanine biosynthesis I,pathway
INTCA_RS11945,Ga0242637_112213,L-valine biosynthesis,pathway
INTCA_RS11945,Ga0242637_112213,,pathway
INTCA_RS11910,Ga0242637_112206,L-glutamate degradation VI (to pyruvate),pathway
INTCA_RS11910,Ga0242637_112206,superpathway of branched chain amino acid biosynthesis,pathway
INTCA_RS11910,Ga0242637_112206,L-leucine biosynthesis,pathway
INTCA_RS11900,Ga0242637_112203,biotin biosynthesis from 8-amino-7-oxononanoate I,pathway
INTCA_RS11895,Ga0242637_112202,biotin biosynthesis from 8-amino-7-oxononanoate I,pathway
INTCA_RS01885,Ga0242637_11186,tRNA charging,pathway
INTCA_RS01885,Ga0242637_11186,,pathway
INTCA_RS11855,Ga0242637_112193,allantoin degradation to glyoxylate III,pathway
INTCA_RS11855,Ga0242637_112193,tRNA charging,pathway
INTCA_RS11850,Ga0242637_112192,allantoin degradation to glyoxylate III,pathway
INTCA_RS11850,Ga0242637_112192,tRNA charging,pathway
INTCA_RS11815,Ga0242637_112184,superpathway of branched chain amino acid biosynthesis,pathway
INTCA_RS11815,Ga0242637_112184,L-leucine biosynthesis,pathway
INTCA_RS11810,Ga0242637_112183,superpathway of branched chain amino acid biosynthesis,pathway
INTCA_RS11810,Ga0242637_112183,L-leucine biosynthesis,pathway
INTCA_RS11795,Ga0242637_112180,factor 420 biosynthesis,pathway
INTCA_RS11790,Ga0242637_112179,phosphatidylglycerol biosynthesis II (non-plastidic),pathway
INTCA_RS11790,Ga0242637_112179,CDP-diacylglycerol biosynthesis I,pathway
INTCA_RS11790,Ga0242637_112179,CDP-diacylglycerol biosynthesis III,pathway
INTCA_RS11785,Ga0242637_112178,phosphatidylglycerol biosynthesis II (non-plastidic),pathway
INTCA_RS11785,Ga0242637_112178,CDP-diacylglycerol biosynthesis I,pathway
INTCA_RS11785,Ga0242637_112178,CDP-diacylglycerol biosynthesis III,pathway
INTCA_RS11685,Ga0242637_112155,superpathway of aromatic amino acid biosynthesis,pathway
INTCA_RS11685,Ga0242637_112155,L-phenylalanine biosynthesis I,pathway
INTCA_RS11685,Ga0242637_112155,L-tyrosine biosynthesis I,pathway
INTCA_RS11680,Ga0242637_112154,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,pathway
INTCA_RS11680,Ga0242637_112154,pyridoxal 5'-phosphate salvage I,pathway
INTCA_RS11680,Ga0242637_112154,pyridoxal 5'-phosphate biosynthesis I,pathway
INTCA_RS11680,Ga0242637_112154,,pathway
INTCA_RS18735,Ga0242637_112153,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,pathway
INTCA_RS18735,Ga0242637_112153,pyridoxal 5'-phosphate salvage I,pathway
INTCA_RS18735,Ga0242637_112153,pyridoxal 5'-phosphate biosynthesis I,pathway
INTCA_RS18735,Ga0242637_112153,,pathway
INTCA_RS11545,Ga0242637_112127,L-lysine biosynthesis I,pathway
INTCA_RS11545,Ga0242637_112127,,pathway
INTCA_RS11540,Ga0242637_112126,L-lysine biosynthesis I,pathway
INTCA_RS11540,Ga0242637_112126,,pathway
INTCA_RS11495,Ga0242637_112117,superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis,pathway
INTCA_RS11495,Ga0242637_112117,superpathway of pyrimidine nucleobases salvage,pathway
INTCA_RS11495,Ga0242637_112117,superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis,pathway
INTCA_RS11495,Ga0242637_112117,UTP and CTP <i>de novo</i> biosynthesis,pathway
INTCA_RS11430,Ga0242637_112104,putrescine degradation IV,pathway
INTCA_RS11430,Ga0242637_112104,putrescine degradation I,pathway
INTCA_RS11400,Ga0242637_112097,4-aminobutanoate degradation II,pathway
INTCA_RS11400,Ga0242637_112097,4-aminobutanoate degradation III,pathway
INTCA_RS11400,Ga0242637_112097,superpathway of 4-aminobutanoate degradation,pathway
INTCA_RS11400,Ga0242637_112097,4-aminobutanoate degradation I,pathway
INTCA_RS11255,Ga0242637_112060,fatty acid &beta;-oxidation I,pathway
INTCA_RS11255,Ga0242637_112060,long-chain fatty acid activation,pathway
INTCA_RS11255,Ga0242637_112060,palmitate biosynthesis II (bacteria and plants),pathway
INTCA_RS11255,Ga0242637_112060,stearate biosynthesis II (bacteria and plants),pathway
INTCA_RS11225,Ga0242637_112054,tRNA charging,pathway
INTCA_RS11225,Ga0242637_112054,,pathway
INTCA_RS11225,Ga0242637_112054,tetrahydrofolate biosynthesis,pathway
INTCA_RS11225,Ga0242637_112054,folate polyglutamylation,pathway
INTCA_RS11220,Ga0242637_112053,tRNA charging,pathway
INTCA_RS11220,Ga0242637_112053,,pathway
INTCA_RS11220,Ga0242637_112053,tetrahydrofolate biosynthesis,pathway
INTCA_RS11220,Ga0242637_112053,folate polyglutamylation,pathway
INTCA_RS11215,Ga0242637_112052,tRNA charging,pathway
INTCA_RS11215,Ga0242637_112052,,pathway
INTCA_RS11215,Ga0242637_112052,tetrahydrofolate biosynthesis,pathway
INTCA_RS11215,Ga0242637_112052,folate polyglutamylation,pathway
INTCA_RS11275,Ga0242637_112064,pseudouridine degradation,pathway
INTCA_RS11270,Ga0242637_112063,pseudouridine degradation,pathway
INTCA_RS11035,Ga0242637_112014,phosphatidylglycerol biosynthesis II (non-plastidic),pathway
INTCA_RS11030,Ga0242637_112013,phosphatidylglycerol biosynthesis II (non-plastidic),pathway
INTCA_RS11025,Ga0242637_112012,phosphatidylglycerol biosynthesis II (non-plastidic),pathway
INTCA_RS11170,Ga0242637_112043,glycine cleavage,pathway
INTCA_RS11170,Ga0242637_112043,2-oxoisovalerate decarboxylation to isobutanoyl-CoA,pathway
INTCA_RS11170,Ga0242637_112043,pyruvate decarboxylation to acetyl CoA,pathway
INTCA_RS11170,Ga0242637_112043,2-oxoglutarate decarboxylation to succinyl-CoA,pathway
INTCA_RS11115,Ga0242637_112030,phenylacetate degradation I (aerobic),pathway
INTCA_RS11115,Ga0242637_112030,,pathway
INTCA_RS11110,Ga0242637_112029,phenylacetate degradation I (aerobic),pathway
INTCA_RS11110,Ga0242637_112029,,pathway
INTCA_RS11105,Ga0242637_112028,phenylacetate degradation I (aerobic),pathway
INTCA_RS11105,Ga0242637_112028,,pathway
INTCA_RS11100,Ga0242637_112027,phenylacetate degradation I (aerobic),pathway
INTCA_RS11100,Ga0242637_112027,,pathway
INTCA_RS11095,Ga0242637_112026,phenylacetate degradation I (aerobic),pathway
INTCA_RS11095,Ga0242637_112026,,pathway
INTCA_RS19140,Ga0242637_112034,L-lysine biosynthesis I,pathway
INTCA_RS11075,Ga0242637_112022,L-lysine biosynthesis I,pathway
INTCA_RS12440,Ga0242637_112312,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS12440,Ga0242637_112312,superpathway of L-threonine biosynthesis,pathway
INTCA_RS12440,Ga0242637_112312,L-homoserine biosynthesis,pathway
INTCA_RS12440,Ga0242637_112312,L-threonine biosynthesis,pathway
INTCA_RS12440,Ga0242637_112312,L-methionine biosynthesis II (plants),pathway
INTCA_RS12435,Ga0242637_112311,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS12435,Ga0242637_112311,superpathway of L-threonine biosynthesis,pathway
INTCA_RS12435,Ga0242637_112311,L-homoserine biosynthesis,pathway
INTCA_RS12435,Ga0242637_112311,L-threonine biosynthesis,pathway
INTCA_RS12435,Ga0242637_112311,L-methionine biosynthesis II (plants),pathway
INTCA_RS12430,Ga0242637_112310,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS12430,Ga0242637_112310,superpathway of L-threonine biosynthesis,pathway
INTCA_RS12430,Ga0242637_112310,L-homoserine biosynthesis,pathway
INTCA_RS12430,Ga0242637_112310,L-threonine biosynthesis,pathway
INTCA_RS12430,Ga0242637_112310,L-methionine biosynthesis II (plants),pathway
INTCA_RS10970,Ga0242637_112001,[2Fe-2S] iron-sulfur cluster biosynthesis,pathway
INTCA_RS10970,Ga0242637_112001,superpathway of thiamine diphosphate biosynthesis II,pathway
INTCA_RS10970,Ga0242637_112001,molybdenum cofactor biosynthesis,pathway
INTCA_RS10970,Ga0242637_112001,thiazole biosynthesis II (aerobic bacteria),pathway
INTCA_RS10970,Ga0242637_112001,L-alanine biosynthesis III,pathway
INTCA_RS08460,Ga0242637_111492,lipoate salvage I,pathway
INTCA_RS08460,Ga0242637_111492,lipoate salvage II,pathway
INTCA_RS08460,Ga0242637_111492,lipoate biosynthesis and incorporation II,pathway
INTCA_RS09220,Ga0242637_111645,<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis,pathway
INTCA_RS09220,Ga0242637_111645,glycine cleavage,pathway
INTCA_RS10785,Ga0242637_111963,"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis",pathway
INTCA_RS10780,Ga0242637_111962,"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis",pathway
INTCA_RS06925,Ga0242637_111181,pyruvate decarboxylation to acetyl CoA,pathway
INTCA_RS06920,Ga0242637_111180,pyruvate decarboxylation to acetyl CoA,pathway
INTCA_RS06915,Ga0242637_111179,pyruvate decarboxylation to acetyl CoA,pathway
INTCA_RS17770,Ga0242637_113372,<i>myo</i>-inositol biosynthesis,pathway
INTCA_RS12590,Ga0242637_112344,L-glutamate degradation I,pathway
INTCA_RS10575,Ga0242637_111919,arsenate detoxification II (glutaredoxin),pathway
INTCA_RS10575,Ga0242637_111919,,pathway
INTCA_RS10570,Ga0242637_111918,arsenate detoxification II (glutaredoxin),pathway
INTCA_RS10570,Ga0242637_111918,,pathway
INTCA_RS10565,Ga0242637_111917,arsenate detoxification II (glutaredoxin),pathway
INTCA_RS10565,Ga0242637_111917,,pathway
INTCA_RS10560,Ga0242637_111916,arsenate detoxification II (glutaredoxin),pathway
INTCA_RS10560,Ga0242637_111916,,pathway
INTCA_RS06045,Ga0242637_11999,UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose),pathway
INTCA_RS05320,Ga0242637_11907,2-oxobutanoate degradation I,pathway
INTCA_RS05320,Ga0242637_11907,propanoyl CoA degradation I,pathway
INTCA_RS10405,Ga0242637_111885,L-methionine biosynthesis II (plants),pathway
INTCA_RS10405,Ga0242637_111885,homocysteine and cysteine interconversion,pathway
INTCA_RS10405,Ga0242637_111885,L-cysteine biosynthesis VI (from L-methionine),pathway
INTCA_RS10400,Ga0242637_111884,L-methionine biosynthesis II (plants),pathway
INTCA_RS10400,Ga0242637_111884,homocysteine and cysteine interconversion,pathway
INTCA_RS10400,Ga0242637_111884,L-cysteine biosynthesis VI (from L-methionine),pathway
INTCA_RS10395,Ga0242637_111883,L-methionine biosynthesis II (plants),pathway
INTCA_RS10395,Ga0242637_111883,homocysteine and cysteine interconversion,pathway
INTCA_RS10395,Ga0242637_111883,L-cysteine biosynthesis VI (from L-methionine),pathway
INTCA_RS10390,Ga0242637_111882,L-methionine biosynthesis II (plants),pathway
INTCA_RS10390,Ga0242637_111882,homocysteine and cysteine interconversion,pathway
INTCA_RS10390,Ga0242637_111882,L-cysteine biosynthesis VI (from L-methionine),pathway
INTCA_RS10385,Ga0242637_111881,L-methionine biosynthesis II (plants),pathway
INTCA_RS10385,Ga0242637_111881,homocysteine and cysteine interconversion,pathway
INTCA_RS10385,Ga0242637_111881,L-cysteine biosynthesis VI (from L-methionine),pathway
INTCA_RS10480,Ga0242637_111900,fatty acid elongation -- saturated,pathway
INTCA_RS10480,Ga0242637_111900,<i>cis</i>-vaccenate biosynthesis,pathway
INTCA_RS10480,Ga0242637_111900,palmitate biosynthesis II (bacteria and plants),pathway
INTCA_RS10480,Ga0242637_111900,stearate biosynthesis II (bacteria and plants),pathway
INTCA_RS10480,Ga0242637_111900,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),pathway
INTCA_RS10245,Ga0242637_111852,2-oxoglutarate decarboxylation to succinyl-CoA,pathway
INTCA_RS10245,Ga0242637_111852,glycine cleavage,pathway
INTCA_RS10245,Ga0242637_111852,2-oxoisovalerate decarboxylation to isobutanoyl-CoA,pathway
INTCA_RS10245,Ga0242637_111852,pyruvate decarboxylation to acetyl CoA,pathway
INTCA_RS10240,Ga0242637_111851,2-oxoglutarate decarboxylation to succinyl-CoA,pathway
INTCA_RS10240,Ga0242637_111851,glycine cleavage,pathway
INTCA_RS10240,Ga0242637_111851,2-oxoisovalerate decarboxylation to isobutanoyl-CoA,pathway
INTCA_RS10240,Ga0242637_111851,pyruvate decarboxylation to acetyl CoA,pathway
INTCA_RS10235,Ga0242637_111850,2-oxoglutarate decarboxylation to succinyl-CoA,pathway
INTCA_RS10235,Ga0242637_111850,glycine cleavage,pathway
INTCA_RS10235,Ga0242637_111850,2-oxoisovalerate decarboxylation to isobutanoyl-CoA,pathway
INTCA_RS10235,Ga0242637_111850,pyruvate decarboxylation to acetyl CoA,pathway
INTCA_RS10455,Ga0242637_111895,L-arginine biosynthesis II (acetyl cycle),pathway
INTCA_RS10455,Ga0242637_111895,L-arginine biosynthesis I (via L-ornithine),pathway
INTCA_RS10455,Ga0242637_111895,urea cycle,pathway
INTCA_RS12840,Ga0242637_112395,superpathway of aromatic amino acid biosynthesis,pathway
INTCA_RS12840,Ga0242637_112395,chorismate biosynthesis I,pathway
INTCA_RS12840,Ga0242637_112395,chorismate biosynthesis from 3-dehydroquinate,pathway
INTCA_RS12835,Ga0242637_112394,superpathway of aromatic amino acid biosynthesis,pathway
INTCA_RS12835,Ga0242637_112394,chorismate biosynthesis I,pathway
INTCA_RS12835,Ga0242637_112394,chorismate biosynthesis from 3-dehydroquinate,pathway
INTCA_RS12830,Ga0242637_112393,superpathway of aromatic amino acid biosynthesis,pathway
INTCA_RS12830,Ga0242637_112393,chorismate biosynthesis I,pathway
INTCA_RS12830,Ga0242637_112393,chorismate biosynthesis from 3-dehydroquinate,pathway
INTCA_RS10365,Ga0242637_111876,L-valine biosynthesis,pathway
INTCA_RS10365,Ga0242637_111876,superpathway of branched chain amino acid biosynthesis,pathway
INTCA_RS10365,Ga0242637_111876,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS10365,Ga0242637_111876,L-isoleucine biosynthesis I (from threonine),pathway
INTCA_RS10365,Ga0242637_111876,,pathway
INTCA_RS10360,Ga0242637_111875,L-valine biosynthesis,pathway
INTCA_RS10360,Ga0242637_111875,superpathway of branched chain amino acid biosynthesis,pathway
INTCA_RS10360,Ga0242637_111875,superpathway of L-isoleucine biosynthesis I,pathway
INTCA_RS10360,Ga0242637_111875,L-isoleucine biosynthesis I (from threonine),pathway
INTCA_RS10360,Ga0242637_111875,,pathway
INTCA_RS10310,Ga0242637_111865,nitrate reduction V (assimilatory),pathway
INTCA_RS10310,Ga0242637_111865,L-glutamine biosynthesis I,pathway
INTCA_RS10310,Ga0242637_111865,,pathway
INTCA_RS10305,Ga0242637_111864,nitrate reduction V (assimilatory),pathway
INTCA_RS10305,Ga0242637_111864,L-glutamine biosynthesis I,pathway
INTCA_RS10305,Ga0242637_111864,,pathway
INTCA_RS10300,Ga0242637_111863,nitrate reduction V (assimilatory),pathway
INTCA_RS10300,Ga0242637_111863,L-glutamine biosynthesis I,pathway
INTCA_RS10300,Ga0242637_111863,,pathway
INTCA_RS10280,Ga0242637_111859,lipoate biosynthesis and incorporation I,pathway
INTCA_RS10280,Ga0242637_111859,lipoate biosynthesis and incorporation III (Bacillus),pathway
INTCA_RS10280,Ga0242637_111859,lipoate biosynthesis and incorporation II,pathway
INTCA_RS10275,Ga0242637_111858,lipoate biosynthesis and incorporation I,pathway
INTCA_RS10275,Ga0242637_111858,lipoate biosynthesis and incorporation III (Bacillus),pathway
INTCA_RS10275,Ga0242637_111858,lipoate biosynthesis and incorporation II,pathway
INTCA_RS10270,Ga0242637_111857,lipoate biosynthesis and incorporation I,pathway
INTCA_RS10270,Ga0242637_111857,lipoate biosynthesis and incorporation III (Bacillus),pathway
INTCA_RS10270,Ga0242637_111857,lipoate biosynthesis and incorporation II,pathway
INTCA_RS10265,Ga0242637_111856,lipoate biosynthesis and incorporation I,pathway
INTCA_RS10265,Ga0242637_111856,lipoate biosynthesis and incorporation III (Bacillus),pathway
INTCA_RS10265,Ga0242637_111856,lipoate biosynthesis and incorporation II,pathway
INTCA_RS10260,Ga0242637_111855,lipoate biosynthesis and incorporation I,pathway
INTCA_RS10260,Ga0242637_111855,lipoate biosynthesis and incorporation III (Bacillus),pathway
INTCA_RS10260,Ga0242637_111855,lipoate biosynthesis and incorporation II,pathway
INTCA_RS02720,Ga0242637_11384,tRNA charging,pathway
INTCA_RS10210,Ga0242637_111845,adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I,pathway
INTCA_RS10210,Ga0242637_111845,2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,pathway
INTCA_RS10210,Ga0242637_111845,adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,pathway
INTCA_RS10210,Ga0242637_111845,5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,pathway
