ID,Value,Type
Ga0242637_112237,membrane,GO terms (cellular component)
Ga0242637_112237,plasma membrane,GO terms (cellular component)
Ga0242637_112237,transmembrane transporter activity,GO terms (molecular function)
Ga0242637_112236,transmembrane transport,GO terms (biological process)
Ga0242637_112236,integral component of membrane,GO terms (cellular component)
Ga0242637_112236,membrane,GO terms (cellular component)
Ga0242637_112236,plasma membrane,GO terms (cellular component)
Ga0242637_112236,transmembrane transporter activity,GO terms (molecular function)
Ga0242637_112232,glycolysis I (from glucose 6-phosphate),Pathways of gene
Ga0242637_112232,glycolysis III (from glucose),Pathways of gene
Ga0242637_112232,superpathway of glucose and xylose degradation,Pathways of gene
Ga0242637_112232,oxidation-reduction process,GO terms (biological process)
Ga0242637_112232,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",GO terms (molecular function)
Ga0242637_112232,oxidoreductase activity,GO terms (molecular function)
Ga0242637_112232,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,GO terms (molecular function)
Ga0242637_112230,catalytic activity,GO terms (molecular function)
Ga0242637_112230,pyridoxal phosphate binding,GO terms (molecular function)
Ga0242637_112230,molybdenum ion binding,GO terms (molecular function)
Ga0242637_112229,catalytic activity,GO terms (molecular function)
Ga0242637_112229,pyridoxal phosphate binding,GO terms (molecular function)
Ga0242637_112229,molybdenum ion binding,GO terms (molecular function)
Ga0242637_112228,<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis,Pathways of gene
Ga0242637_112228,tetrahydrofolate biosynthesis,Pathways of gene
Ga0242637_112228,oxidation-reduction process,GO terms (biological process)
Ga0242637_112228,NAD binding,GO terms (molecular function)
Ga0242637_11584,lyase activity,GO terms (molecular function)
Ga0242637_11584,hydroxymethylglutaryl-CoA lyase activity,GO terms (molecular function)
Ga0242637_11584,catalytic activity,GO terms (molecular function)
Ga0242637_112218,cellular oxidant detoxification,GO terms (biological process)
Ga0242637_112218,oxidation-reduction process,GO terms (biological process)
Ga0242637_112218,heme binding,GO terms (molecular function)
Ga0242637_112218,peroxidase activity,GO terms (molecular function)
Ga0242637_112217,cellular oxidant detoxification,GO terms (biological process)
Ga0242637_112217,oxidation-reduction process,GO terms (biological process)
Ga0242637_112217,heme binding,GO terms (molecular function)
Ga0242637_112217,peroxidase activity,GO terms (molecular function)
Ga0242637_112222,superpathway of L-isoleucine biosynthesis I,Pathways of gene
Ga0242637_112222,L-isoleucine biosynthesis I (from threonine),Pathways of gene
Ga0242637_112222,superpathway of branched chain amino acid biosynthesis,Pathways of gene
Ga0242637_112222,L-valine biosynthesis,Pathways of gene
Ga0242637_112222,valine biosynthetic process,GO terms (biological process)
Ga0242637_112222,isoleucine biosynthetic process,GO terms (biological process)
Ga0242637_112222,branched-chain amino acid biosynthetic process,GO terms (biological process)
Ga0242637_112222,cellular amino acid biosynthetic process,GO terms (biological process)
Ga0242637_112222,oxidation-reduction process,GO terms (biological process)
Ga0242637_112222,flavin adenine dinucleotide binding,GO terms (molecular function)
Ga0242637_112222,metal ion binding,GO terms (molecular function)
Ga0242637_112222,thiamine pyrophosphate binding,GO terms (molecular function)
Ga0242637_112222,transferase activity,GO terms (molecular function)
Ga0242637_112222,acetolactate synthase activity,GO terms (molecular function)
Ga0242637_112222,catalytic activity,GO terms (molecular function)
Ga0242637_112222,magnesium ion binding,GO terms (molecular function)
Ga0242637_112222,NADP binding,GO terms (molecular function)
Ga0242637_112222,isomerase activity,GO terms (molecular function)
Ga0242637_112222,oxidoreductase activity,GO terms (molecular function)
Ga0242637_112222,ketol-acid reductoisomerase activity,GO terms (molecular function)
Ga0242637_112221,superpathway of L-isoleucine biosynthesis I,Pathways of gene
Ga0242637_112221,L-isoleucine biosynthesis I (from threonine),Pathways of gene
Ga0242637_112221,superpathway of branched chain amino acid biosynthesis,Pathways of gene
Ga0242637_112221,L-valine biosynthesis,Pathways of gene
Ga0242637_112221,valine biosynthetic process,GO terms (biological process)
Ga0242637_112221,isoleucine biosynthetic process,GO terms (biological process)
Ga0242637_112221,branched-chain amino acid biosynthetic process,GO terms (biological process)
Ga0242637_112221,cellular amino acid biosynthetic process,GO terms (biological process)
Ga0242637_112221,oxidation-reduction process,GO terms (biological process)
Ga0242637_112221,flavin adenine dinucleotide binding,GO terms (molecular function)
Ga0242637_112221,metal ion binding,GO terms (molecular function)
Ga0242637_112221,thiamine pyrophosphate binding,GO terms (molecular function)
Ga0242637_112221,transferase activity,GO terms (molecular function)
Ga0242637_112221,acetolactate synthase activity,GO terms (molecular function)
Ga0242637_112221,catalytic activity,GO terms (molecular function)
Ga0242637_112221,magnesium ion binding,GO terms (molecular function)
Ga0242637_112221,NADP binding,GO terms (molecular function)
Ga0242637_112221,isomerase activity,GO terms (molecular function)
Ga0242637_112221,oxidoreductase activity,GO terms (molecular function)
Ga0242637_112221,ketol-acid reductoisomerase activity,GO terms (molecular function)
Ga0242637_112220,superpathway of L-isoleucine biosynthesis I,Pathways of gene
Ga0242637_112220,L-isoleucine biosynthesis I (from threonine),Pathways of gene
Ga0242637_112220,superpathway of branched chain amino acid biosynthesis,Pathways of gene
Ga0242637_112220,L-valine biosynthesis,Pathways of gene
Ga0242637_112220,valine biosynthetic process,GO terms (biological process)
Ga0242637_112220,isoleucine biosynthetic process,GO terms (biological process)
Ga0242637_112220,branched-chain amino acid biosynthetic process,GO terms (biological process)
Ga0242637_112220,cellular amino acid biosynthetic process,GO terms (biological process)
Ga0242637_112220,oxidation-reduction process,GO terms (biological process)
Ga0242637_112220,flavin adenine dinucleotide binding,GO terms (molecular function)
Ga0242637_112220,metal ion binding,GO terms (molecular function)
Ga0242637_112220,thiamine pyrophosphate binding,GO terms (molecular function)
Ga0242637_112220,transferase activity,GO terms (molecular function)
Ga0242637_112220,acetolactate synthase activity,GO terms (molecular function)
Ga0242637_112220,catalytic activity,GO terms (molecular function)
Ga0242637_112220,magnesium ion binding,GO terms (molecular function)
Ga0242637_112220,NADP binding,GO terms (molecular function)
Ga0242637_112220,isomerase activity,GO terms (molecular function)
Ga0242637_112220,oxidoreductase activity,GO terms (molecular function)
Ga0242637_112220,ketol-acid reductoisomerase activity,GO terms (molecular function)
Ga0242637_112216,superpathway of L-serine and glycine biosynthesis I,Pathways of gene
Ga0242637_112216,L-serine biosynthesis I,Pathways of gene
Ga0242637_11954,selenate reduction,Pathways of gene
Ga0242637_11954,assimilatory sulfate reduction III,Pathways of gene
Ga0242637_11954,hydrogen sulfide biosynthetic process,GO terms (biological process)
Ga0242637_11954,sulfur compound metabolic process,GO terms (biological process)
Ga0242637_11954,,GO terms (biological process)
Ga0242637_11954,nucleotidyltransferase activity,GO terms (molecular function)
Ga0242637_11954,transferase activity,GO terms (molecular function)
Ga0242637_11954,GTP binding,GO terms (molecular function)
Ga0242637_11954,ATP binding,GO terms (molecular function)
Ga0242637_11954,sulfate adenylyltransferase (ATP) activity,GO terms (molecular function)
Ga0242637_11954,GTPase activity,GO terms (molecular function)
Ga0242637_11954,nucleotide binding,GO terms (molecular function)
Ga0242637_11954,,GO terms (molecular function)
Ga0242637_11953,selenate reduction,Pathways of gene
Ga0242637_11953,assimilatory sulfate reduction III,Pathways of gene
Ga0242637_11953,hydrogen sulfide biosynthetic process,GO terms (biological process)
Ga0242637_11953,sulfur compound metabolic process,GO terms (biological process)
Ga0242637_11953,,GO terms (biological process)
Ga0242637_11953,nucleotidyltransferase activity,GO terms (molecular function)
Ga0242637_11953,transferase activity,GO terms (molecular function)
Ga0242637_11953,GTP binding,GO terms (molecular function)
Ga0242637_11953,ATP binding,GO terms (molecular function)
Ga0242637_11953,sulfate adenylyltransferase (ATP) activity,GO terms (molecular function)
Ga0242637_11953,GTPase activity,GO terms (molecular function)
Ga0242637_11953,nucleotide binding,GO terms (molecular function)
Ga0242637_11953,,GO terms (molecular function)
Ga0242637_11550,L-alanine biosynthesis I,Pathways of gene
Ga0242637_11550,,Pathways of gene
Ga0242637_11550,NADH to cytochrome <i>bd</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11550,NADH to cytochrome <i>bo</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11550,aerobic respiration I (cytochrome c),Pathways of gene
Ga0242637_11550,isoprenoid biosynthetic process,GO terms (biological process)
Ga0242637_11550,oxidation-reduction process,GO terms (biological process)
Ga0242637_11550,ATP synthesis coupled electron transport,GO terms (biological process)
Ga0242637_11550,integral component of membrane,GO terms (cellular component)
Ga0242637_11550,membrane,GO terms (cellular component)
Ga0242637_11550,plasma membrane,GO terms (cellular component)
Ga0242637_11550,transferase activity,GO terms (molecular function)
Ga0242637_11550,NADH dehydrogenase (quinone) activity,GO terms (molecular function)
Ga0242637_11550,quinone binding,GO terms (molecular function)
Ga0242637_11550,oxidoreductase activity,GO terms (molecular function)
Ga0242637_11550,NADH dehydrogenase (ubiquinone) activity,GO terms (molecular function)
Ga0242637_11550,"oxidoreductase activity, acting on NAD(P)H",GO terms (molecular function)
Ga0242637_11550,"4 iron, 4 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11550,iron-sulfur cluster binding,GO terms (molecular function)
Ga0242637_11550,metal ion binding,GO terms (molecular function)
Ga0242637_11550,iron ion binding,GO terms (molecular function)
Ga0242637_11550,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",GO terms (molecular function)
Ga0242637_11550,"2 iron, 2 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11550,molybdopterin cofactor binding,GO terms (molecular function)
Ga0242637_11550,electron transfer activity,GO terms (molecular function)
Ga0242637_11550,NAD binding,GO terms (molecular function)
Ga0242637_11550,FMN binding,GO terms (molecular function)
Ga0242637_11549,L-alanine biosynthesis I,Pathways of gene
Ga0242637_11549,,Pathways of gene
Ga0242637_11549,NADH to cytochrome <i>bd</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11549,NADH to cytochrome <i>bo</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11549,aerobic respiration I (cytochrome c),Pathways of gene
Ga0242637_11549,isoprenoid biosynthetic process,GO terms (biological process)
Ga0242637_11549,oxidation-reduction process,GO terms (biological process)
Ga0242637_11549,ATP synthesis coupled electron transport,GO terms (biological process)
Ga0242637_11549,integral component of membrane,GO terms (cellular component)
Ga0242637_11549,membrane,GO terms (cellular component)
Ga0242637_11549,plasma membrane,GO terms (cellular component)
Ga0242637_11549,transferase activity,GO terms (molecular function)
Ga0242637_11549,NADH dehydrogenase (quinone) activity,GO terms (molecular function)
Ga0242637_11549,quinone binding,GO terms (molecular function)
Ga0242637_11549,oxidoreductase activity,GO terms (molecular function)
Ga0242637_11549,NADH dehydrogenase (ubiquinone) activity,GO terms (molecular function)
Ga0242637_11549,"oxidoreductase activity, acting on NAD(P)H",GO terms (molecular function)
Ga0242637_11549,"4 iron, 4 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11549,iron-sulfur cluster binding,GO terms (molecular function)
Ga0242637_11549,metal ion binding,GO terms (molecular function)
Ga0242637_11549,iron ion binding,GO terms (molecular function)
Ga0242637_11549,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",GO terms (molecular function)
Ga0242637_11549,"2 iron, 2 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11549,molybdopterin cofactor binding,GO terms (molecular function)
Ga0242637_11549,electron transfer activity,GO terms (molecular function)
Ga0242637_11549,NAD binding,GO terms (molecular function)
Ga0242637_11549,FMN binding,GO terms (molecular function)
Ga0242637_11548,L-alanine biosynthesis I,Pathways of gene
Ga0242637_11548,,Pathways of gene
Ga0242637_11548,NADH to cytochrome <i>bd</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11548,NADH to cytochrome <i>bo</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11548,aerobic respiration I (cytochrome c),Pathways of gene
Ga0242637_11548,isoprenoid biosynthetic process,GO terms (biological process)
Ga0242637_11548,oxidation-reduction process,GO terms (biological process)
Ga0242637_11548,ATP synthesis coupled electron transport,GO terms (biological process)
Ga0242637_11548,integral component of membrane,GO terms (cellular component)
Ga0242637_11548,membrane,GO terms (cellular component)
Ga0242637_11548,plasma membrane,GO terms (cellular component)
Ga0242637_11548,transferase activity,GO terms (molecular function)
Ga0242637_11548,NADH dehydrogenase (quinone) activity,GO terms (molecular function)
Ga0242637_11548,quinone binding,GO terms (molecular function)
Ga0242637_11548,oxidoreductase activity,GO terms (molecular function)
Ga0242637_11548,NADH dehydrogenase (ubiquinone) activity,GO terms (molecular function)
Ga0242637_11548,"oxidoreductase activity, acting on NAD(P)H",GO terms (molecular function)
Ga0242637_11548,"4 iron, 4 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11548,iron-sulfur cluster binding,GO terms (molecular function)
Ga0242637_11548,metal ion binding,GO terms (molecular function)
Ga0242637_11548,iron ion binding,GO terms (molecular function)
Ga0242637_11548,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",GO terms (molecular function)
Ga0242637_11548,"2 iron, 2 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11548,molybdopterin cofactor binding,GO terms (molecular function)
Ga0242637_11548,electron transfer activity,GO terms (molecular function)
Ga0242637_11548,NAD binding,GO terms (molecular function)
Ga0242637_11548,FMN binding,GO terms (molecular function)
Ga0242637_11547,L-alanine biosynthesis I,Pathways of gene
Ga0242637_11547,,Pathways of gene
Ga0242637_11547,NADH to cytochrome <i>bd</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11547,NADH to cytochrome <i>bo</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11547,aerobic respiration I (cytochrome c),Pathways of gene
Ga0242637_11547,isoprenoid biosynthetic process,GO terms (biological process)
Ga0242637_11547,oxidation-reduction process,GO terms (biological process)
Ga0242637_11547,ATP synthesis coupled electron transport,GO terms (biological process)
Ga0242637_11547,integral component of membrane,GO terms (cellular component)
Ga0242637_11547,membrane,GO terms (cellular component)
Ga0242637_11547,plasma membrane,GO terms (cellular component)
Ga0242637_11547,transferase activity,GO terms (molecular function)
Ga0242637_11547,NADH dehydrogenase (quinone) activity,GO terms (molecular function)
Ga0242637_11547,quinone binding,GO terms (molecular function)
Ga0242637_11547,oxidoreductase activity,GO terms (molecular function)
Ga0242637_11547,NADH dehydrogenase (ubiquinone) activity,GO terms (molecular function)
Ga0242637_11547,"oxidoreductase activity, acting on NAD(P)H",GO terms (molecular function)
Ga0242637_11547,"4 iron, 4 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11547,iron-sulfur cluster binding,GO terms (molecular function)
Ga0242637_11547,metal ion binding,GO terms (molecular function)
Ga0242637_11547,iron ion binding,GO terms (molecular function)
Ga0242637_11547,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",GO terms (molecular function)
Ga0242637_11547,"2 iron, 2 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11547,molybdopterin cofactor binding,GO terms (molecular function)
Ga0242637_11547,electron transfer activity,GO terms (molecular function)
Ga0242637_11547,NAD binding,GO terms (molecular function)
Ga0242637_11547,FMN binding,GO terms (molecular function)
Ga0242637_11546,L-alanine biosynthesis I,Pathways of gene
Ga0242637_11546,,Pathways of gene
Ga0242637_11546,NADH to cytochrome <i>bd</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11546,NADH to cytochrome <i>bo</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11546,aerobic respiration I (cytochrome c),Pathways of gene
Ga0242637_11546,isoprenoid biosynthetic process,GO terms (biological process)
Ga0242637_11546,oxidation-reduction process,GO terms (biological process)
Ga0242637_11546,ATP synthesis coupled electron transport,GO terms (biological process)
Ga0242637_11546,integral component of membrane,GO terms (cellular component)
Ga0242637_11546,membrane,GO terms (cellular component)
Ga0242637_11546,plasma membrane,GO terms (cellular component)
Ga0242637_11546,transferase activity,GO terms (molecular function)
Ga0242637_11546,NADH dehydrogenase (quinone) activity,GO terms (molecular function)
Ga0242637_11546,quinone binding,GO terms (molecular function)
Ga0242637_11546,oxidoreductase activity,GO terms (molecular function)
Ga0242637_11546,NADH dehydrogenase (ubiquinone) activity,GO terms (molecular function)
Ga0242637_11546,"oxidoreductase activity, acting on NAD(P)H",GO terms (molecular function)
Ga0242637_11546,"4 iron, 4 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11546,iron-sulfur cluster binding,GO terms (molecular function)
Ga0242637_11546,metal ion binding,GO terms (molecular function)
Ga0242637_11546,iron ion binding,GO terms (molecular function)
Ga0242637_11546,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",GO terms (molecular function)
Ga0242637_11546,"2 iron, 2 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11546,molybdopterin cofactor binding,GO terms (molecular function)
Ga0242637_11546,electron transfer activity,GO terms (molecular function)
Ga0242637_11546,NAD binding,GO terms (molecular function)
Ga0242637_11546,FMN binding,GO terms (molecular function)
Ga0242637_11545,L-alanine biosynthesis I,Pathways of gene
Ga0242637_11545,,Pathways of gene
Ga0242637_11545,NADH to cytochrome <i>bd</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11545,NADH to cytochrome <i>bo</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11545,aerobic respiration I (cytochrome c),Pathways of gene
Ga0242637_11545,isoprenoid biosynthetic process,GO terms (biological process)
Ga0242637_11545,oxidation-reduction process,GO terms (biological process)
Ga0242637_11545,ATP synthesis coupled electron transport,GO terms (biological process)
Ga0242637_11545,integral component of membrane,GO terms (cellular component)
Ga0242637_11545,membrane,GO terms (cellular component)
Ga0242637_11545,plasma membrane,GO terms (cellular component)
Ga0242637_11545,transferase activity,GO terms (molecular function)
Ga0242637_11545,NADH dehydrogenase (quinone) activity,GO terms (molecular function)
Ga0242637_11545,quinone binding,GO terms (molecular function)
Ga0242637_11545,oxidoreductase activity,GO terms (molecular function)
Ga0242637_11545,NADH dehydrogenase (ubiquinone) activity,GO terms (molecular function)
Ga0242637_11545,"oxidoreductase activity, acting on NAD(P)H",GO terms (molecular function)
Ga0242637_11545,"4 iron, 4 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11545,iron-sulfur cluster binding,GO terms (molecular function)
Ga0242637_11545,metal ion binding,GO terms (molecular function)
Ga0242637_11545,iron ion binding,GO terms (molecular function)
Ga0242637_11545,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",GO terms (molecular function)
Ga0242637_11545,"2 iron, 2 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11545,molybdopterin cofactor binding,GO terms (molecular function)
Ga0242637_11545,electron transfer activity,GO terms (molecular function)
Ga0242637_11545,NAD binding,GO terms (molecular function)
Ga0242637_11545,FMN binding,GO terms (molecular function)
Ga0242637_11544,L-alanine biosynthesis I,Pathways of gene
Ga0242637_11544,,Pathways of gene
Ga0242637_11544,NADH to cytochrome <i>bd</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11544,NADH to cytochrome <i>bo</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11544,aerobic respiration I (cytochrome c),Pathways of gene
Ga0242637_11544,isoprenoid biosynthetic process,GO terms (biological process)
Ga0242637_11544,oxidation-reduction process,GO terms (biological process)
Ga0242637_11544,ATP synthesis coupled electron transport,GO terms (biological process)
Ga0242637_11544,integral component of membrane,GO terms (cellular component)
Ga0242637_11544,membrane,GO terms (cellular component)
Ga0242637_11544,plasma membrane,GO terms (cellular component)
Ga0242637_11544,transferase activity,GO terms (molecular function)
Ga0242637_11544,NADH dehydrogenase (quinone) activity,GO terms (molecular function)
Ga0242637_11544,quinone binding,GO terms (molecular function)
Ga0242637_11544,oxidoreductase activity,GO terms (molecular function)
Ga0242637_11544,NADH dehydrogenase (ubiquinone) activity,GO terms (molecular function)
Ga0242637_11544,"oxidoreductase activity, acting on NAD(P)H",GO terms (molecular function)
Ga0242637_11544,"4 iron, 4 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11544,iron-sulfur cluster binding,GO terms (molecular function)
Ga0242637_11544,metal ion binding,GO terms (molecular function)
Ga0242637_11544,iron ion binding,GO terms (molecular function)
Ga0242637_11544,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",GO terms (molecular function)
Ga0242637_11544,"2 iron, 2 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11544,molybdopterin cofactor binding,GO terms (molecular function)
Ga0242637_11544,electron transfer activity,GO terms (molecular function)
Ga0242637_11544,NAD binding,GO terms (molecular function)
Ga0242637_11544,FMN binding,GO terms (molecular function)
Ga0242637_11543,L-alanine biosynthesis I,Pathways of gene
Ga0242637_11543,,Pathways of gene
Ga0242637_11543,NADH to cytochrome <i>bd</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11543,NADH to cytochrome <i>bo</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11543,aerobic respiration I (cytochrome c),Pathways of gene
Ga0242637_11543,isoprenoid biosynthetic process,GO terms (biological process)
Ga0242637_11543,oxidation-reduction process,GO terms (biological process)
Ga0242637_11543,ATP synthesis coupled electron transport,GO terms (biological process)
Ga0242637_11543,integral component of membrane,GO terms (cellular component)
Ga0242637_11543,membrane,GO terms (cellular component)
Ga0242637_11543,plasma membrane,GO terms (cellular component)
Ga0242637_11543,transferase activity,GO terms (molecular function)
Ga0242637_11543,NADH dehydrogenase (quinone) activity,GO terms (molecular function)
Ga0242637_11543,quinone binding,GO terms (molecular function)
Ga0242637_11543,oxidoreductase activity,GO terms (molecular function)
Ga0242637_11543,NADH dehydrogenase (ubiquinone) activity,GO terms (molecular function)
Ga0242637_11543,"oxidoreductase activity, acting on NAD(P)H",GO terms (molecular function)
Ga0242637_11543,"4 iron, 4 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11543,iron-sulfur cluster binding,GO terms (molecular function)
Ga0242637_11543,metal ion binding,GO terms (molecular function)
Ga0242637_11543,iron ion binding,GO terms (molecular function)
Ga0242637_11543,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",GO terms (molecular function)
Ga0242637_11543,"2 iron, 2 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11543,molybdopterin cofactor binding,GO terms (molecular function)
Ga0242637_11543,electron transfer activity,GO terms (molecular function)
Ga0242637_11543,NAD binding,GO terms (molecular function)
Ga0242637_11543,FMN binding,GO terms (molecular function)
Ga0242637_11542,L-alanine biosynthesis I,Pathways of gene
Ga0242637_11542,,Pathways of gene
Ga0242637_11542,NADH to cytochrome <i>bd</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11542,NADH to cytochrome <i>bo</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11542,aerobic respiration I (cytochrome c),Pathways of gene
Ga0242637_11542,isoprenoid biosynthetic process,GO terms (biological process)
Ga0242637_11542,oxidation-reduction process,GO terms (biological process)
Ga0242637_11542,ATP synthesis coupled electron transport,GO terms (biological process)
Ga0242637_11542,integral component of membrane,GO terms (cellular component)
Ga0242637_11542,membrane,GO terms (cellular component)
Ga0242637_11542,plasma membrane,GO terms (cellular component)
Ga0242637_11542,transferase activity,GO terms (molecular function)
Ga0242637_11542,NADH dehydrogenase (quinone) activity,GO terms (molecular function)
Ga0242637_11542,quinone binding,GO terms (molecular function)
Ga0242637_11542,oxidoreductase activity,GO terms (molecular function)
Ga0242637_11542,NADH dehydrogenase (ubiquinone) activity,GO terms (molecular function)
Ga0242637_11542,"oxidoreductase activity, acting on NAD(P)H",GO terms (molecular function)
Ga0242637_11542,"4 iron, 4 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11542,iron-sulfur cluster binding,GO terms (molecular function)
Ga0242637_11542,metal ion binding,GO terms (molecular function)
Ga0242637_11542,iron ion binding,GO terms (molecular function)
Ga0242637_11542,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",GO terms (molecular function)
Ga0242637_11542,"2 iron, 2 sulfur cluster binding",GO terms (molecular function)
Ga0242637_11542,molybdopterin cofactor binding,GO terms (molecular function)
Ga0242637_11542,electron transfer activity,GO terms (molecular function)
Ga0242637_11542,NAD binding,GO terms (molecular function)
Ga0242637_11542,FMN binding,GO terms (molecular function)
Ga0242637_11541,L-alanine biosynthesis I,Pathways of gene
Ga0242637_11541,,Pathways of gene
Ga0242637_11541,NADH to cytochrome <i>bd</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11541,NADH to cytochrome <i>bo</i> oxidase electron transfer I,Pathways of gene
Ga0242637_11541,aerobic respiration I (cytochrome c),Pathways of gene
Ga0242637_11541,isoprenoid biosynthetic process,GO terms (biological process)
Ga0242637_11541,oxidation-reduction process,GO terms (biological process)
Ga0242637_11541,ATP synthesis coupled electron transport,GO terms (biological process)
Ga0242637_11541,integral component of membrane,GO terms (cellular component)
Ga0242637_11541,membrane,GO terms (cellular component)
Ga0242637_11541,plasma membrane,GO terms (cellular component)
Ga0242637_11541,transferase activity,GO terms (molecular function)
Ga0242637_11541,NADH dehydrogenase (quinone) activity,GO terms (molecular function)
Ga0242637_11541,quinone binding,GO terms (molecular function)
Ga0242637_11541,oxidoreductase activity,GO terms (molecular function)
Ga0242637_11541,NADH dehydrogenase (ubiquinone) activity,GO terms (molecular function)
Ga0242637_11541,"oxidoreductase activity, acting on NAD(P)H",GO terms (molecular function)
Ga0242637_11541,"4 iron, 4 sulfur cluster binding",GO terms (molecular function)
