query,superpathway,pathway,subpathway,function,id,description,V2,V3
Ga0242637_1153,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,Enoyl-CoA hydratase (EC 4.2.1.17),SS17314,Enoyl-CoA hydratase (EC 4.2.1.17),72.33333333,9.67E-61
Ga0242637_1157,"Virulence, Disease and Defense",Resistance to antibiotics and toxic compounds,Copper homeostasis,Copper resistance protein D,SS04004,Copper resistance protein D,58.12,6.00E-142
Ga0242637_1159,unclassified,unclassified,YjeF AMarbaix bis,putative hydrolase,SS21922,putative hydrolase,100,1.20E-154
Ga0242637_1159,unclassified,unclassified,Nit1 MVDC,Omega amidase (Nit2 homolog),SS08853,Omega amidase (Nit2 homolog),59.3,2.60E-83
Ga0242637_1164,unclassified,unclassified,"Dimethylsulfoniopropionate (DMSP) mineralization, gjo",3-methylmercaptopropionyl-CoA dehydrogenase (DmdC),SS16017,3-methylmercaptopropionyl-CoA dehydrogenase (DmdC),71.23333333,3.67E-234
Ga0242637_1167,unclassified,unclassified,Gra,"Transcriptional regulator, MarR family",SS21137,"Transcriptional regulator, MarR family",68.65,2.35E-18
Ga0242637_1184,"Phages, Prophages, Transposable elements, Plasmids","Phages, Prophages",Phage integration and excision,Integrase,SS09279,Integrase,49.25,1.62E-87
Ga0242637_1186,unclassified,unclassified,Yggs,Cell division protein FtsH (EC 3.4.24.-),SS16788,Cell division protein FtsH (EC 3.4.24.-),63.16666667,7.00E-11
Ga0242637_1187,Experimental Subsystems,unclassified,uridine kinase cluster 1,Deoxycytidine triphosphate deaminase (EC 3.5.4.13),SS10675,Deoxycytidine triphosphate deaminase (EC 3.5.4.13),88.9,4.00E-88
Ga0242637_1189,Stress Response,Osmotic stress,Choline and Betaine Uptake and Betaine Biosynthesis,L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1),SS02981,L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1),70.74285714,8.30E-119
Ga0242637_1190,Stress Response,Osmotic stress,Choline and Betaine Uptake and Betaine Biosynthesis,L-proline glycine betaine ABC transport system permease protein ProW (TC 3.A.1.12.1),SS02982,L-proline glycine betaine ABC transport system permease protein ProW (TC 3.A.1.12.1),72.73333333,3.87E-57
Ga0242637_1191,Stress Response,Osmotic stress,Choline and Betaine Uptake and Betaine Biosynthesis,Glycine betaine ABC transport system permease protein,SS02975,Glycine betaine ABC transport system permease protein,65.58,7.18E-60
Ga0242637_1192,Stress Response,Osmotic stress,Choline and Betaine Uptake and Betaine Biosynthesis,L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1),SS02983,L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1),60.24,1.33E-62
Ga0242637_1192,Experimental Subsystems,unclassified,Transporters In Models,L-proline glycine betaine binding ABC transporter protein proX (TC 3.A.1.12.1),SS18514,L-proline glycine betaine binding ABC transporter protein proX (TC 3.A.1.12.1),49.8,2.80E-62
Ga0242637_1193,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,55.1,1.79E-135
Ga0242637_1194,unclassified,unclassified,NADPHX,alpha/beta hydrolase fold,SS21613,alpha/beta hydrolase fold,68,1.47E-69
Ga0242637_1195,unclassified,unclassified,lux LCFA EM,putative cytochrome P450 hydroxylase,SS08626,putative cytochrome P450 hydroxylase,75.93333333,4.33E-138
Ga0242637_11101,Carbohydrates,Central carbohydrate metabolism,"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate",Aldehyde dehydrogenase (EC 1.2.1.3),SS16338,Aldehyde dehydrogenase (EC 1.2.1.3),92.2,7.50E-258
Ga0242637_11103,Experimental Subsystems,unclassified,rRNA methylation in clusters,Putative stomatin/prohibitin-family membrane protease subunit aq_911,SS15328,Putative stomatin/prohibitin-family membrane protease subunit aq_911,80.63,7.39E-94
Ga0242637_11105,Nitrogen Metabolism,unclassified,Nitrosative stress,"Nitric-oxide reductase (EC 1.7.99.7), quinol-dependent",SS19110,"Nitric-oxide reductase (EC 1.7.99.7), quinol-dependent",77.38,0
Ga0242637_11110,Experimental Subsystems,unclassified,Sulfate Assimilation Shewanella,Cysteine synthase (EC 2.5.1.47),SS16976,Cysteine synthase (EC 2.5.1.47),83.81111111,1.22E-131
Ga0242637_11111,Cell Wall and Capsule,Capsular and extracellular polysacchrides,Vibrio Polysaccharide (VPS) Biosynthesis,Serine acetyltransferase (EC 2.3.1.30),SS20573,Serine acetyltransferase (EC 2.3.1.30),69.21428571,1.20E-61
Ga0242637_11113,unclassified,unclassified,Folate Biosynthesis (Phoenix copy) 2,Non functional Dihydropteroate synthase 2,SS19128,Non functional Dihydropteroate synthase 2,71.125,2.78E-84
Ga0242637_11114,Stress Response,Cold shock,"Cold shock, CspA family of proteins",Cold shock protein CspA,SS03723,Cold shock protein CspA,89.04285714,3.87E-26
Ga0242637_11119,Carbohydrates,Central carbohydrate metabolism,"Pyruvate metabolism I: anaplerotic reactions, PEP",Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32),SS10776,Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32),77.05714286,2.14E-265
Ga0242637_11121,"Phages, Prophages, Transposable elements, Plasmids","Phages, Prophages",Phage integration and excision,Integrase,SS09279,Integrase,34.75,9.52E-48
Ga0242637_11130,unclassified,unclassified,CBSS-227321.4.peg.3751,putative transcriptional regulator,SS21935,putative transcriptional regulator,58.5,9.10E-05
Ga0242637_11135,Protein Metabolism,Protein degradation,Proteasome bacterial,Site-specific tyrosine recombinase,SS20640,Site-specific tyrosine recombinase,74.96666667,2.50E-99
Ga0242637_11136,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,38.4,1.40E-40
Ga0242637_11137,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,60.9,2.90E-35
Ga0242637_11145,Experimental Subsystems,Transposable elements,Transposases,transposase,SS22053,transposase,47.7,5.10E-81
Ga0242637_11145,unclassified,unclassified,Family 23 FUPA23 P-type ATPase,putative transposase,SS21936,putative transposase,42.6,1.50E-61
Ga0242637_11146,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,57.6,7.90E-31
Ga0242637_11147,Experimental Subsystems,unclassified,Transporters In Models,"Glycerol-3-phosphate ABC transporter, periplasmic glycerol-3-phosphate-binding protein (TC 3.A.1.1.3)",SS17998,"Glycerol-3-phosphate ABC transporter, periplasmic glycerol-3-phosphate-binding protein (TC 3.A.1.1.3)",44.8,2.20E-55
Ga0242637_11148,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,55.1,1.79E-135
Ga0242637_11158,Clustering-based subsystems,methane monooxygenase cluster (? can be phenol-monoox in some organisms?),CBSS-246196.1.peg.1974,blr3675,SS21648,blr3675,75.65,1.75E-146
Ga0242637_11158,Clustering-based subsystems,methane monooxygenase cluster (? can be phenol-monoox in some organisms?),CBSS-246196.1.peg.1974,putative alcohol dehydrogenase (EC 1.1.1.1),SS21914,putative alcohol dehydrogenase (EC 1.1.1.1),75.65,1.75E-146
Ga0242637_11159,Carbohydrates,Aminosugars,Chitin and N-acetylglucosamine utilization,"N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein",SS18972,"N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein",55.2,9.70E-151
Ga0242637_11159,Miscellaneous,Plant-Prokaryote DOE project,COG3533,"ABC transport system, sugar-binding protein",SS03645,"ABC transport system, sugar-binding protein",36.7,2.10E-76
Ga0242637_11160,Experimental Subsystems,unclassified,Transporters In Models,SN-glycerol-3-phosphate transport system permease protein UgpA (TC 3.A.1.1.3),SS20508,SN-glycerol-3-phosphate transport system permease protein UgpA (TC 3.A.1.1.3),70.64285714,7.69E-85
Ga0242637_11160,Carbohydrates,unclassified,Sugar utilization in Thermotogales,"Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)",SS17999,"Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)",57.1,1.80E-82
Ga0242637_11161,Experimental Subsystems,unclassified,Transporters In Models,"ABC transporter, permease protein",SS16142,"ABC transporter, permease protein",39.6,9.80E-54
Ga0242637_11161,Stress Response,Detoxification,Uptake of selenate and selenite,"Various polyols ABC transporter, permease component 2",SS14983,"Various polyols ABC transporter, permease component 2",43.2,2.20E-53
Ga0242637_11162,Experimental Subsystems,unclassified,Transporters In Models,SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3),SS20507,SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3),46.25,4.21E-82
Ga0242637_11163,Experimental Subsystems,unclassified,Transporters In Models,SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3),SS20507,SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3),100,1.40E-133
Ga0242637_11163,Carbohydrates,Sugar alcohols,Glycerol and Glycerol-3-phosphate Uptake and Utilization,"Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)",SS05983,"Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)",51.5,4.51E-50
Ga0242637_11164,"Phages, Prophages, Transposable elements, Plasmids","Phages, Prophages",Phage integration and excision,Integrase,SS09279,Integrase,65.9,6.53E-29
Ga0242637_11167,Experimental Subsystems,Transposable elements,Transposases,Transposase,SS21203,Transposase,84.65,9.00E-161
Ga0242637_11167,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,58.125,5.05E-107
Ga0242637_11167,unclassified,unclassified,Family 23 FUPA23 P-type ATPase,putative transposase,SS21936,putative transposase,79.1,2.00E-106
Ga0242637_11170,Regulation and Cell signaling,Programmed Cell Death and Toxin-antitoxin Systems,"Phd-Doc, YdcE-YdcD toxin-antitoxin (programmed cell death) systems","Death on curing protein, Doc toxin",SS09405,"Death on curing protein, Doc toxin",68.9,3.82E-23
Ga0242637_11173,unclassified,unclassified,luxHR LAO 2,Acetoacetyl-CoA synthetase (EC 6.2.1.16),SS16224,Acetoacetyl-CoA synthetase (EC 6.2.1.16),78.7,8.96E-226
Ga0242637_11173,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),SS18642,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),78.7,8.96E-226
Ga0242637_11176,unclassified,unclassified,EC 6.2.1.- Ligases forming acid-thiol bonds,Phenylacetate-coenzyme A ligase (EC 6.2.1.30),SS00844,Phenylacetate-coenzyme A ligase (EC 6.2.1.30),46.15,9.40E-69
Ga0242637_11177,unclassified,unclassified,CBSS-227321.4.peg.3751,Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1),SS00103,Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1),74.575,7.53E-90
Ga0242637_11179,Membrane Transport,ABC transporters,ABC transporter branched-chain amino acid (TC 3.A.1.4.1),Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1),SS00105,Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1),52.22222222,2.17E-63
Ga0242637_11180,Experimental Subsystems,unclassified,Transporters In Models,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1),SS00106,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1),52.62222222,1.07E-60
Ga0242637_11181,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),SS18642,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),59.22222222,3.33E-182
Ga0242637_11182,Membrane Transport,ABC transporters,ABC transporter branched-chain amino acid (TC 3.A.1.4.1),Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1),SS00104,Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1),65.26,6.40E-82
Ga0242637_11183,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Homogentisate pathway of aromatic compound degradation,"Transcriptional regulator, IclR family",SS06517,"Transcriptional regulator, IclR family",66.3,3.90E-10
Ga0242637_11184,Carbohydrates,Central carbohydrate metabolism,"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate",Acetyl-coenzyme A synthetase (EC 6.2.1.1),SS16252,Acetyl-coenzyme A synthetase (EC 6.2.1.1),51.775,1.75E-95
Ga0242637_11185,"Virulence, Disease and Defense",Resistance to antibiotics and toxic compounds,Copper homeostasis,Multicopper oxidase,SS04014,Multicopper oxidase,50.22,1.22E-62
Ga0242637_11186,Protein Metabolism,Protein biosynthesis,"tRNA aminoacylation, Arg",Arginyl-tRNA synthetase (EC 6.1.1.19),SS14003,Arginyl-tRNA synthetase (EC 6.1.1.19),78.06666667,3.35E-223
Ga0242637_11188,"Fatty Acids, Lipids, and Isoprenoids",Fatty acids,Phospholipid and Fatty acid biosynthesis related cluster,FIG022199: FAD-binding protein,SS09592,FIG022199: FAD-binding protein,39.85,9.10E-50
Ga0242637_11191,Protein Metabolism,Selenoproteins,"Glycine reductase, sarcosine reductase and betaine reductase",Thioredoxin,SS21042,Thioredoxin,72.86666667,1.07E-39
Ga0242637_11193,unclassified,unclassified,CBSS-227321.4.peg.3751,Mobile element protein,SS18898,Mobile element protein,55.1,1.79E-135
Ga0242637_11194,Amino Acids and Derivatives,Branched-chain amino acids,Valine degradation,Butyryl-CoA dehydrogenase (EC 1.3.99.2),SS16625,Butyryl-CoA dehydrogenase (EC 1.3.99.2),87,6.51E-183
Ga0242637_11195,Carbohydrates,Organic acids,Isobutyryl-CoA to Propionyl-CoA Module,3-hydroxyacyl-CoA dehydrogenase [isoleucine degradation] (EC 1.1.1.35),SS16001,3-hydroxyacyl-CoA dehydrogenase [isoleucine degradation] (EC 1.1.1.35),58.4,1.90E-64
Ga0242637_11196,Membrane Transport,ABC transporters,ABC transporter branched-chain amino acid (TC 3.A.1.4.1),Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1),SS00105,Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1),68.76666667,9.68E-117
Ga0242637_11197,Experimental Subsystems,unclassified,Transporters In Models,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1),SS00106,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1),62.55,6.78E-84
Ga0242637_11198,Carbohydrates,Central carbohydrate metabolism,Dehydrogenase complexes,"Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein",SS04204,"Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein",63.88,3.96E-127
Ga0242637_11199,unclassified,unclassified,CBSS-227321.4.peg.3751,Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1),SS00103,Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1),63.13333333,2.33E-70
Ga0242637_11200,Membrane Transport,ABC transporters,ABC transporter branched-chain amino acid (TC 3.A.1.4.1),Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1),SS00104,Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1),72.65,2.33E-83
Ga0242637_11201,Clustering-based subsystems,May be related to ADP-phosphoribose and NAD-dependent acetylation,CBSS-216591.1.peg.168,MaoC domain protein dehydratase,SS18758,MaoC domain protein dehydratase,43.6,1.90E-24
Ga0242637_11202,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,Enoyl-CoA hydratase (EC 4.2.1.17),SS17314,Enoyl-CoA hydratase (EC 4.2.1.17),70.55,1.45E-71
Ga0242637_11202,"Fatty Acids, Lipids, and Isoprenoids",unclassified,Polyhydroxybutyrate metabolism,3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55),SS16004,3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55),66.6,7.00E-70
Ga0242637_11202,Metabolism of Aromatic Compounds,Anaerobic degradation of aromatic compounds,Anaerobic benzoate metabolism,Cyclohex-1-ene-1-carboxyl-CoA hydratase (EC 4.2.1.17),SS00533,Cyclohex-1-ene-1-carboxyl-CoA hydratase (EC 4.2.1.17),57.6,2.90E-71
Ga0242637_11203,Carbohydrates,One-carbon Metabolism,Serine-glyoxylate cycle,Acetyl-CoA acetyltransferase (EC 2.3.1.9),SS16245,Acetyl-CoA acetyltransferase (EC 2.3.1.9),69.48571429,7.69E-147
Ga0242637_11203,Metabolism of Aromatic Compounds,Metabolism of central aromatic intermediates,Protocatechuate branch of beta-ketoadipate pathway,Beta-ketoadipyl CoA thiolase (EC 2.3.1.-),SS16562,Beta-ketoadipyl CoA thiolase (EC 2.3.1.-),69.48571429,7.69E-147
Ga0242637_11204,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),SS18642,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),62.3,1.10E-143
Ga0242637_11204,unclassified,unclassified,EC 6.2.1.- Ligases forming acid-thiol bonds,Benzoate-CoA ligase (EC 6.2.1.25),SS16539,Benzoate-CoA ligase (EC 6.2.1.25),49.8,3.50E-156
Ga0242637_11204,Metabolism of Aromatic Compounds,Anaerobic degradation of aromatic compounds,Anaerobic benzoate metabolism,Glutaryl-CoA dehydrogenase (EC 1.3.99.7),SS00537,Glutaryl-CoA dehydrogenase (EC 1.3.99.7),49.8,3.50E-156
Ga0242637_11205,Metabolism of Aromatic Compounds,Anaerobic degradation of aromatic compounds,Anaerobic benzoate metabolism,2-hydroxycyclohexanecarboxyl-CoA dehydrogenase (EC 1.1.1.-),SS00522,2-hydroxycyclohexanecarboxyl-CoA dehydrogenase (EC 1.1.1.-),63.2875,1.68E-72
Ga0242637_11206,Amino Acids and Derivatives,Branched-chain amino acids,Valine degradation,Butyryl-CoA dehydrogenase (EC 1.3.99.2),SS16625,Butyryl-CoA dehydrogenase (EC 1.3.99.2),86.73333333,2.37E-172
Ga0242637_11207,unclassified,unclassified,"Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate",Naphthoate synthase (EC 4.1.3.36),SS07901,Naphthoate synthase (EC 4.1.3.36),83.5,6.70E-115
Ga0242637_11208,Miscellaneous,unclassified,Carbonate Biomineralization,"Transcriptional regulator, TetR family",SS21142,"Transcriptional regulator, TetR family",61.975,3.48E-46
Ga0242637_11209,Experimental Subsystems,unclassified,Transporters In Models,Respiratory nitrate reductase gamma chain (EC 1.7.99.4),SS08618,Respiratory nitrate reductase gamma chain (EC 1.7.99.4),74.62,3.60E-84
Ga0242637_11210,Experimental Subsystems,unclassified,Transporters In Models,Respiratory nitrate reductase delta chain (EC 1.7.99.4),SS08617,Respiratory nitrate reductase delta chain (EC 1.7.99.4),60.55,5.07E-47
Ga0242637_11211,Experimental Subsystems,unclassified,Transporters In Models,Respiratory nitrate reductase beta chain (EC 1.7.99.4),SS08616,Respiratory nitrate reductase beta chain (EC 1.7.99.4),82.85,5.89E-257
Ga0242637_11212,Experimental Subsystems,unclassified,Transporters In Models,Respiratory nitrate reductase alpha chain (EC 1.7.99.4),SS08615,Respiratory nitrate reductase alpha chain (EC 1.7.99.4),76.6,0
Ga0242637_11214,Experimental Subsystems,unclassified,Transporters In Models,Nitrate/nitrite transporter,SS08599,Nitrate/nitrite transporter,83.5,1.85E-160
Ga0242637_11215,Experimental Subsystems,unclassified,Transporters In Models,Nitrate/nitrite transporter,SS08599,Nitrate/nitrite transporter,98.5,5.60E-264
Ga0242637_11216,Metabolism of Aromatic Compounds,Peripheral pathways for catabolism of aromatic compounds,n-Phenylalkanoic acid degradation,Enoyl-CoA hydratase (EC 4.2.1.17),SS17314,Enoyl-CoA hydratase (EC 4.2.1.17),67.3,3.50E-78
Ga0242637_11217,Experimental Subsystems,unclassified,Transporters In Models,NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2),SS09542,NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2),71.6,8.01E-166
Ga0242637_11218,Experimental Subsystems,unclassified,Transporters In Models,NAD(P) transhydrogenase subunit beta (EC 1.6.1.2),SS09543,NAD(P) transhydrogenase subunit beta (EC 1.6.1.2),75.625,2.63E-173
Ga0242637_11224,RNA Metabolism,RNA processing and modification,tRNAmodification position 34,tRNA-specific adenosine-34 deaminase (EC 3.5.4.-),SS22025,tRNA-specific adenosine-34 deaminase (EC 3.5.4.-),70.66,8.09E-46
